,language_spoken,LANGUAGE
00                  N/A or blank,N/A or blank,00
01                  English,English,01
02                  German,German,02
"03                  Yiddish, Jewish","Yiddish, Jewish",03
04                  Dutch,Dutch,04
05                  Swedish,Swedish,05
06                  Danish,Danish,06
07                  Norwegian,Norwegian,07
08                  Icelandic,Icelandic,08
09                  Scandinavian,Scandinavian,09
10                  Italian,Italian,10
11                  French,French,11
12                  Spanish,Spanish,12
13                  Portuguese,Portuguese,13
14                  Rumanian,Rumanian,14
15                  Celtic,Celtic,15
16                  Greek,Greek,16
17                  Albanian,Albanian,17
18                  Russian,Russian,18
"19                  Ukrainian, Ruthenian, Little Russian","Ukrainian, Ruthenian, Little Russian",19
20                  Czech,Czech,20
21                  Polish,Polish,21
22                  Slovak,Slovak,22
"23                  Serbo-Croatian, Yugoslavian, Slavonian","Serbo-Croatian, Yugoslavian, Slavonian",23
24                  Slovene,Slovene,24
25                  Lithuanian,Lithuanian,25
26                  Other Balto-Slavic,Other Balto-Slavic,26
27                  Slavic unknown,Slavic unknown,27
28                  Armenian,Armenian,28
"29                  Persian, Iranian, Farsi","Persian, Iranian, Farsi",29
30                  Other Persian dialects,Other Persian dialects,30
31                  Hindi and related,Hindi and related,31
"32                  Romany, Gypsy","Romany, Gypsy",32
33                  Finnish,Finnish,33
"34                  Magyar, Hungarian","Magyar, Hungarian",34
35                  Uralic,Uralic,35
36                  Turkish,Turkish,36
37                  Other Altaic,Other Altaic,37
"38                  Caucasian, Georgian, Avar","Caucasian, Georgian, Avar",38
39                  Basque,Basque,39
40                  Dravidian,Dravidian,40
41                  Kurukh,Kurukh,41
42                  Burushaski,Burushaski,42
43                  Chinese,Chinese,43
44                  Tibetan,Tibetan,44
"45                  Burmese, Lisu, Lolo","Burmese, Lisu, Lolo",45
46                  Kachin,Kachin,46
"47                  Thai, Siamese, Lao","Thai, Siamese, Lao",47
48                  Japanese,Japanese,48
49                  Korean,Korean,49
50                  Vietnamese,Vietnamese,50
51                  Other East/Southeast Asian,Other East/Southeast Asian,51
52                  Indonesian,Indonesian,52
53                  Other Malayan,Other Malayan,53
"54                  Filipino, Tagalog","Filipino, Tagalog",54
"55                  Micronesian, Polynesian","Micronesian, Polynesian",55
56                  Hawaiian,Hawaiian,56
57                  Arabic,Arabic,57
58                  Near East Arabic dialect,Near East Arabic dialect,58
"59                  Hebrew, Israeli","Hebrew, Israeli",59
"60                  Amharic, Ethiopian, etc.","Amharic, Ethiopian, etc.",60
61                  Hamitic,Hamitic,61
62                  Other Afro-Asiatic languages,Other Afro-Asiatic languages,62
63                  Sub-Saharan Africa,Sub-Saharan Africa,63
"64                  African, n.s.","African, n.s.",64
70                  American Indian (all),American Indian (all),70
"71                  Aleut, Eskimo","Aleut, Eskimo",71
72                  Algonquian,Algonquian,72
"73                  Salish, Flathead","Salish, Flathead",73
74                  Athapascan,Athapascan,74
75                  Navajo,Navajo,75
76                  Penutian-Sahaptin,Penutian-Sahaptin,76
77                  Other Penutian,Other Penutian,77
78                  Zuni,Zuni,78
79                  Yuman,Yuman,79
80                  Other Hokan languages,Other Hokan languages,80
81                  Siouan languages,Siouan languages,81
82                  Muskogean,Muskogean,82
83                  Keres,Keres,83
84                  Iroquoian,Iroquoian,84
85                  Caddoan,Caddoan,85
86                  Shoshonean/Hopi,Shoshonean/Hopi,86
"87                  Pima, Papago","Pima, Papago",87
"88                  Yaqui and other Sonoran, nec","Yaqui and other Sonoran, nec",88
"89                  Aztecan, Nahuatl, Uto-Aztecan","Aztecan, Nahuatl, Uto-Aztecan",89
90                  Tanoan languages,Tanoan languages,90
91                  Other Indian languages,Other Indian languages,91
92                  Mayan languages,Mayan languages,92
"93                  American Indian, n.s.","American Indian, n.s.",93
94                  Native,Native,94
95                  No language,No language,95
96                  Other or not reported,Other or not reported,96
"99                  Not reported, blank","Not reported, blank",99
